UC Major																																																						
English/B.A.		Engl122		Engl123		Engl252		Engl253		Engl262		Engl263		Engl170		Engl172			Engl273		Human110			Human111		Human116																												
Environmental Science/B.S.		Chem120		Chem121		Biosc130		Biosc131		Math192		Math193		Phys120		Phys124			Phys121		Phys125			Phys130		Phys230		Bus240		Math142		Math144																						
Ethnomusicology/B.A.		No course Articulated																																																				
Eurpoean Studies/B.A.		No course Articulated																																																				
Film and Television/B.A.		No course Articulated																																																				
Financial Actuarial Mathematics/B.S.		Math192		Math193		Math292		Math194		Math294		Econ221		Econ220		Busac186			Busac187		Comsc200																																	
French and Linguistics/B.A.		No course Articulated																																																				
French/B.A.		No course Articulated																																																				
Gender Studies/B.A.		No course Articulated																																																				
Geography/B.A.		Geog120		Geog121		Geog130		Geog135		Bus240		Math142		Math144																																								
Geography/Environmental Studies/B.A.		Geog120		Geog121		Geog130		Geog135		Biosc170		Bus240		Math142		Math144																																						
Geology/B.S.		Geol120		Biosc131		Chem120		Chem121		Math192		Math193		Math292		Phys120			Phys124		Phys121			Phys125																														
Geophysics/B.S.		Math192		Math193		Math292		Math194		Math294		Phys130		Phys230		Phys231			Geol120																																			
German/B.A.		No course Articulated																																																				
Global Jazz Studies/B.A.		No course Articulated																																																				
Global Studies/B.A.		Bus240		Math142		Math144		Polsc240		Polsc250		Polsc220		Socio120		Econ221			Econ220		Anthr130			Engl273		Geog130		Geog135		Hist129		Hist135																						
Greek and Latin/B.A.		No course Articulated																																																				
Greek/B.A.		No course Articulated																																																				
History/B.A.		Hist140		Hist141		Hist120		Hist121 		Hist122		Hist124		Hist125		Hist126			Hist127		Hist127			Hist129		Hist135		Hist136		Hist142		Hist150		Hist151		Hist170		Hist171																
Human Biology and Society/B.A.		Anthr140		Chem120		Biosc130		Biosc131		Bus240		Math142		Math144		Anthr130			Geog130		Philo122			Socio120																														
Human Biology and Society/B.S.		Anthr140		Chem120		Chem121		Chem226		Chem227		Biosc130		Biosc131		Bus240			Math142		Math144			Math192		Math193		Math292		Phys120		Phys124		Phys121		Phys125		Phys130		Phys230		Phys231		Anthr130		Geog130		Philo122		Socio120				
International Development Studies/B.A.		Anthr130		Geog130		Biosc170		Geog135		Hist135		Hist136		Polsc250		Polsc220			Socio120		Econ221			Econ220		Bus240		Math142		Math144																								
Iranian Studies/B.A.		No course Articulated																																																				
Italian and Special Fields/B.A.		No course Articulated																																																				
Italian/B.A.		No course Articulated																																																				
Japanese/B.A.		No course Articulated																																																				
Jewish Studies/B.A.		No course Articulated																																																				
Korean/B.A.		No course Articulated																																																				
Labor Studies/B.A.		Hist129		Hist136																																																		
Latin American Studies/B.A.		Anthr130		Geog130		Econ221		Econ220		Geog135		Polsc220		Socio120		Hist135			Hist136																																			
Latin/B.A.		No course Articulated																																																				
